"Turn on catalog ingestion","Skakel katalogusinname aan"
"Turn off catalog ingestion","Skakel katalogusinname af"
"Turn on Pinterest tag and Pinterest API for Conversions","Skakel Pinterest-merking en Pinterest-API vir omskakelings aan"
"Turn off Pinterest tag and Pinterest API for Conversions","Skakel Pinterest-merking en Pinterest-API vir omskakelings af"
Pinterest,Pinterest
Setup,Setup
Configurations,Opstelling
General,Algemeen
"Client ID","Kliënt-ID"
"Base URL","Basis-URL"
"Catalog Ingestion","Katalogusinname"
"Tag and API for Conversions","Merk en API vir omskakelings"
