"Turn on catalog ingestion","تشغيل استيعاب الكتالوج"
"Turn off catalog ingestion","إيقاف استيعاب الكتالوج"
"Turn on Pinterest tag and Pinterest API for Conversions","تشغيل علامة Pinterest وواجهة برمجة تطبيقات Pinterest للتحويلات"
"Turn off Pinterest tag and Pinterest API for Conversions","إيقاف تشغيل علامة Pinterest وواجهة برمجة تطبيقات Pinterest للتحويلات"
Pinterest,Pinterest
Setup,Setup
Configurations,تكوينات
General,عام
"Client ID","معرف العميل"
"Base URL","عنوان URL الأساسي"
"Catalog Ingestion","استيعاب الكتالوج"
"Tag and API for Conversions","العلامة وواجهة برمجة التطبيقات للتحويلات"
