"Turn on catalog ingestion","Включване на приемане на каталог"
"Turn off catalog ingestion","Изключване на приемане на каталог"
"Turn on Pinterest tag and Pinterest API for Conversions","Включете таг в Pinterest и API на Pinterest за конверсии"
"Turn off Pinterest tag and Pinterest API for Conversions","Изключване на таг в Pinterest и API на Pinterest за конверсии"
Pinterest,Pinterest
Setup,Setup
Configurations,Конфигурации
General,Общи
"Client ID","ИД на клиент"
"Base URL","Основен URL адрес"
"Catalog Ingestion","Приемане на каталог"
"Tag and API for Conversions","Таг и API за конверсии"
