"Turn on catalog ingestion","Ενεργοποίηση πρόσληψης καταλόγου"
"Turn off catalog ingestion","Απενεργοποίηση πρόσληψης καταλόγου"
"Turn on Pinterest tag and Pinterest API for Conversions","Ενεργοποιήστε την ετικέτα Pinterest και το API του Pinterest για μετατροπές"
"Turn off Pinterest tag and Pinterest API for Conversions","Απενεργοποίηση της ετικέτας Pinterest και του API του Pinterest για μετατροπές"
Pinterest,Pinterest
Setup,Setup
Configurations,Ρυθμίσεις παραμέτρων
General,Γενικά
"Client ID","Αναγνωριστικό πελάτη"
"Base URL","Βασική διεύθυνση URL"
"Catalog Ingestion","Πρόσληψη καταλόγου"
"Tag and API for Conversions","Προσθήκη ετικέτας και API για μετατροπές"
