"Regenerate Catalog","Régénérer le catalogue"
"Enable the LDP flag to comply with obligations under CCPA and CPRA when using Pinterest's ad service. <a href='%1' target='_blank'>Learn more</a>","Lorsque vous utilisez le service d’annonces de Pinterest, activez le drapeau LDP pour vous conformer aux obligations en vertu du CCPA et du CPRA. <a href='%1' target='_blank'>En savoir plus</a>"
"Turn on catalog ingestion","Activer l’ingestion de catalogue"
"Turn off catalog ingestion","Désactiver l’ingestion de catalogue"
"Turn on Pinterest tag and Pinterest API for Conversions","Activer la balise Pinterest et l’API de conversions Pinterest"
"Turn off Pinterest tag and Pinterest API for Conversions","Désactiver la balise Pinterest et l’API de conversions Pinterest"
"Use Magento Cookie Restriction Mode","Utiliser le mode de restriction des cookies Magento"
"Enable Tracking if Cookie Exists","Activer le suivi s’il existe un cookie"
Yes,Oui
No,Non
"There was an issue regenerating your catalog. Please refresh the page or trying again later.","Une erreur est survenue lors de la régénération de votre catalogue. Actualisez la page ou réessayez plus tard."
Success,Opération réussie !
"You must be logged into Pinterest to access this setting","Vous devez être connecté(e) à Pinterest pour accéder à ce paramètre"
Pinterest,Pinterest
Setup,Configurer
Configurations,Configurations
General,Général
"Client ID","ID client"
"Client ID for Pinterest. This is used to identify Adobe Commerce/Magento clients on Pinterest.","ID de client pour Pinterest. Ceci permet d’identifier les clients Adobe Commerce/Magento sur Pinterest."
"Integration Base URL","URL de base de l’intégration"
"Base URL path for Pinterest.","Chemin d’URL de base pour Pinterest."
"Catalog Ingestion","Ingestion de catalogue"
"Allow catalog ingestion to Pinterest","Autoriser l’ingestion de catalogue dans Pinterest"
"Conversion tracking","Suivi de conversion"
"Send clientside and serverside conversion events. To update this setting, disconnect and reconnect your Pinterest business account to Adobe Commerce.","Envoyez des événements de conversion côté client et côté serveur. Pour mettre à jour ce paramètre, déconnectez et reconnectez votre compte professionnel Pinterest à Adobe Commerce."
"Catalog Sync","Synchronisation du catalogue"
"Manually run catalog creation and feed registration","Exécuter manuellement la création de catalogue et l’enregistrement des pages d’accueil"
"General Data Protection Regulation (GDPR)","Règlement général sur la protection des données (GDPR)"
"Enable GDPR","Activer le RGPD"
Options,Options
"Cookie Name","Nom du cookie"
"Tracking is controlled at Stores > Configuration > General > Web > Default Cookie Settings > Cookie Restriction Mode","Vous pouvez contrôler le suivi depuis Boutiques > Général > Web > Paramètres des cookies par défaut > Mode de restriction des cookies"
"Limited Data Processing (LDP)","Traitement limité des données (LDP)"
"Enable Limited Data Processing flag","Activer le drapeau de traitement limité des données"
