"Turn on catalog ingestion","הפעילו עיבוד קטלוג"
"Turn off catalog ingestion","כבו את עיבוד הקטלוג"
"Turn on Pinterest tag and Pinterest API for Conversions","הפעילו תג Pinterest ו-API של Pinterest להמרות"
"Turn off Pinterest tag and Pinterest API for Conversions","כבו את תג Pinterest ואת Pinterest API להמרות"
Pinterest,Pinterest
Setup,Setup
Configurations,תצורות
General,כללי
"Client ID","מזהה לקוח"
"Base URL","כתובת URL בסיס"
"Catalog Ingestion","עיבוד קטלוג"
"Tag and API for Conversions","תג ו-API להמרות"
