"Regenerate Catalog","Ponovno generiranje kataloga"
"Enable the LDP flag to comply with obligations under CCPA and CPRA when using Pinterest's ad service. <a href='%1' target='_blank'>Learn more</a>","Omogućite zastavicu za ograničenu obradu podataka kako biste se pridržavali obveza koje navode CCPA i CPRA prilikom upotrebe Pinterestovih usluge oglašavanja.<a href='%1' target='_blank'>Saznajte više</a>"
"Turn on catalog ingestion","Uključi unos kataloga u bazu podataka"
"Turn off catalog ingestion","Isključivanje unosa u bazu podataka kataloga"
"Turn on Pinterest tag and Pinterest Conversions API","Uključite Pinterestovu oznaku i Pinterestov API za konverzije"
"Turn off Pinterest tag and Pinterest Conversions API","Isključite Pinterestovu oznaku i Pinterestov API za konverzije"
"Use Magento Cookie Restriction Mode","Upotrijebite Magentov način ograničenja kolačića"
"Enable Tracking if Cookie Exists","Omogućite praćenje ako postoji kolačić"
Yes,Da
No,Ne
"There was an issue regenerating your catalog. Please refresh the page or trying again later.","Došlo je do problema s ponovnim generiranjem vašeg kataloga. Osvježite stranicu ili pokušajte ponovno kasnije."
Success,Uspjeh
"You must be logged into Pinterest to access this setting","Morate se prijaviti na Pinterest da biste pristupili ovoj postavci"
Pinterest,Pinterest
Setup,Postavljanje
Configurations,Konfiguracija
General,Općenito
"Client ID","ID klijenta"
"Client ID for Pinterest. This is used to identify Adobe Commerce/Magento clients on Pinterest.","ID klijenta za Pinterest. Upotrebljava se za identifikaciju klijenata platforme Adobe Commerce/Magento na Pinterestu."
"Integration Base URL","Osnovni URL za integraciju"
"Base URL path for Pinterest.","Osnovni URL put za Pinterest."
"Catalog Ingestion","Unos kataloga u bazu podataka"
"Allow catalog ingestion to Pinterest","Dozvoli unos kataloga u Pinterest"
"Conversion tracking","Praćenje konverzija"
"Send clientside and serverside conversion events. To update this setting, disconnect and reconnect your Pinterest business account to Adobe Commerce.","Pošalji događaje konverzije na strani klijenta i poslužitelja.Za ažuriranje ove postavke prekinite vezu i ponovno povežite svoj poslovni račun na Pinterestu s uslugom Adobe Commerce."
"Catalog Sync","Sinkronizacija kataloga"
"Manually run catalog creation and feed registration","Ručno pokretanje izrade kataloga i registracije feeda"
"General Data Protection Regulation (GDPR)","Opća uredba o zaštiti podataka (GDPR)"
"Enable GDPR","Omogućite GDPR"
Options,Opcije
"Cookie Name","Naziv kolačića"
"Tracking is controlled at Stores > Configuration > General > Web > Default Cookie Settings > Cookie Restriction Mode","Praćenjem se upravlja u izborniku Trgovine > Konfiguracija > Općenito > Web > Zadane postavke kolačića > Način ograničenja kolačića"
"Limited Data Processing (LDP)","Ograničena obrada podataka (LDP)"
"Enable Limited Data Processing flag","Zastavica za omogućavanje ograničene obrade podataka"
