"Turn on catalog ingestion","Katalógus-feldolgozás bekapcsolása"
"Turn off catalog ingestion","Katalógus-feldolgozás kikapcsolása"
"Turn on Pinterest tag and Pinterest API for Conversions","Kapcsold be a Pinterest-címkét és a konverziós Pinterest API-t"
"Turn off Pinterest tag and Pinterest API for Conversions","A Pinterest-címke és a konverziós Pinterest API kikapcsolása"
Pinterest,Pinterest
Setup,Setup
Configurations,Konfigurációk
General,Általános
"Client ID","Ügyfél azonosítója"
"Base URL","Alap URL"
"Catalog Ingestion","Katalógus feldolgozása"
"Tag and API for Conversions","Konverziós címke és API"
