"Turn on catalog ingestion","Aktifkan penyerapan katalog"
"Turn off catalog ingestion","Nonaktifkan penyerapan katalog"
"Turn on Pinterest tag and Pinterest API for Conversions","Aktifkan tag Pinterest dan API Pinterest untuk Konversi"
"Turn off Pinterest tag and Pinterest API for Conversions","Nonaktifkan tag Pinterest dan API Pinterest untuk Konversi"
Pinterest,Pinterest
Setup,Setup
Configurations,Konfigurasi
General,Umum
"Client ID","ID Klien"
"Base URL","URL Dasar"
"Catalog Ingestion","Penyerapan Katalog"
"Tag and API for Conversions","Tag dan API untuk Konversi"
