"Regenerate Catalog","カタログを再生成する"
"Enable the LDP flag to comply with obligations under CCPA and CPRA when using Pinterest's ad service. <a href='%1' target='_blank'>Learn more</a>","Pinterest の広告サービスを利用する際は、LDP フラグを有効にして、CCPA および CPRA を遵守する義務があります。<a href='%1' target='_blank'>詳細</a>"
"Turn on catalog ingestion","カタログの取得をオンにする"
"Turn off catalog ingestion","カタログの取得をオフにする"
"Turn on Pinterest tag and Pinterest Conversions API","Pinterest タグと Pinterest コンバージョン API をオンにする"
"Turn off Pinterest tag and Pinterest Conversions API","Pinterest タグと Pinterest コンバージョン API をオフにする"
"Use Magento Cookie Restriction Mode","Magento Cookie Restriction Mode（Cookie 制限モード）を使用する"
"Enable Tracking if Cookie Exists","クッキーが存在する場合はトラッキングを有効にする"
Yes,はい
No,いいえ
"There was an issue regenerating your catalog. Please refresh the page or trying again later.","カタログを再生成できませんでした。ページの表示を更新してもう一度お試しください。"
Success,サクセス
"You must be logged into Pinterest to access this setting","この設定にアクセスするには、Pinterest にログインしている必要があります"
Pinterest,Pinterest
Setup,セットアップ
Configurations,設定
General,一般
"Client ID","クライアント ID"
"Client ID for Pinterest. This is used to identify Adobe Commerce/Magento clients on Pinterest.","Pinterest 向けのクライアント ID。Pinterest の Adobe Commerce/Magento クライアントを特定するために使用されます。"
"Integration Base URL","インテグレーションのベース URL"
"Base URL path for Pinterest.","Pinterest 向けのベース URL パス。"
"Catalog Ingestion","カタログの取得"
"Allow catalog ingestion to Pinterest","Pinterest にカタログ取得を許可する"
"Conversion tracking","コンバージョントラッキング"
"Send clientside and serverside conversion events. To update this setting, disconnect and reconnect your Pinterest business account to Adobe Commerce.","クライアント側とサーバー側のコンバージョンイベントを送信します。この設定を更新するには、Pinterest ビジネスアカウントと Adobe Commerce の接続を解除してから再接続してください。"
"Catalog Sync","カタログ同期"
"Manually run catalog creation and feed registration","カタログの作成とフィードの登録を手動で実行する"
"General Data Protection Regulation (GDPR)","一般データ保護規則（GDPR）"
"Enable GDPR","GDPR を有効にする"
Options,オプション
"Cookie Name","クッキー名"
"Tracking is controlled at Stores > Configuration > General > Web > Default Cookie Settings > Cookie Restriction Mode","トラッキングは、Stores > Configuration > General > Web > Default Cookie Settings > Cookie Restriction Mode で管理されます"
"Limited Data Processing (LDP)","制限付きデータ処理（LDP）"
"Enable Limited Data Processing flag","制限付きデータ処理フラグを有効にする"
