"Turn on catalog ingestion","Hidupkan pengingesan katalog"
"Turn off catalog ingestion","Matikan pengingesan katalog"
"Turn on Pinterest tag and Pinterest API for Conversions","Hidupkan tag Pinterest dan API Pinterest untuk Penukaran"
"Turn off Pinterest tag and Pinterest API for Conversions","Matikan tag Pinterest dan API Pinterest untuk Penukaran"
Pinterest,Pinterest
Setup,Setup
Configurations,Konfigurasi
General,Umum
"Client ID","ID Pelanggan"
"Base URL","URL Pangkalan"
"Catalog Ingestion","Pengingesan Katalog"
"Tag and API for Conversions","Tag dan API untuk Penukaran"
