"Turn on catalog ingestion","Catalogusopname inschakelen"
"Turn off catalog ingestion","Catalogusopname uitschakelen"
"Turn on Pinterest tag and Pinterest API for Conversions","De Pinterest-tag en de Pinterest-API inschakelen voor conversies"
"Turn off Pinterest tag and Pinterest API for Conversions","De Pinterest-tag en de Pinterest-API voor conversies uitschakelen"
Pinterest,Pinterest
Setup,Setup
Configurations,Configuraties
General,Algemeen
"Client ID","Klant-ID"
"Base URL","Basis-URL"
"Catalog Ingestion","Gegevensopname van catalogus"
"Tag and API for Conversions","Tag en API voor conversies"
