"Turn on catalog ingestion","Włącz zestawienie katalogów"
"Turn off catalog ingestion","Wyłącz zestawienie katalogów"
"Turn on Pinterest tag and Pinterest API for Conversions","Włącz tag Pinteresta i interfejs API konwersji Pinteresta"
"Turn off Pinterest tag and Pinterest API for Conversions","Wyłączanie tagu Pinteresta i interfejsu API konwersji Pinteresta"
Pinterest,Pinterest
Setup,Setup
Configurations,Konfiguracji
General,Ogólne
"Client ID","Identyfikator klienta"
"Base URL","Podstawowy adres URL"
"Catalog Ingestion","Zestawienie katalogów"
"Tag and API for Conversions","Tag i interfejs API konwersji"
