"Regenerate Catalog","Regenerar catálogo"
"Enable the LDP flag to comply with obligations under CCPA and CPRA when using Pinterest's ad service. <a href='%1' target='_blank'>Learn more</a>","Permite que o sinalizador LDP cumpra as obrigações ao abrigo da CCPA e da CPRA quando usas o serviço de anúncios do Pinterest. <a href='%1' target='_blank'>Saber mais</a>"
"Turn on catalog ingestion","Ativar a inserção de catálogo"
"Turn off catalog ingestion","Desativar a inserção de catálogo"
"Turn on Pinterest tag and Pinterest API for Conversions","Ativar a Tag do Pinterest e a API do Pinterest para conversões"
"Turn off Pinterest tag and Pinterest API for Conversions","Desativar a Tag do Pinterest e a API do Pinterest para conversões"
"Use Magento Cookie Restriction Mode","Usar o modo de restrição de cookies do Magento"
"Enable Tracking if Cookie Exists","Ativar acompanhamento, se o cookie existir"
Yes,Sim
No,Não
"There was an issue regenerating your catalog. Please refresh the page or trying again later.","Houve um problema ao regenerar o teu catálogo. Atualiza a página ou tenta novamente mais tarde."
Success,Sucesso
"You must be logged into Pinterest to access this setting","Tens de ter sessão iniciada no Pinterest para aceder a esta definição"
Pinterest,Pinterest
Setup,Configuração
Configurations,Configurações
General,Geral
"Client ID","ID do Cliente"
"Client ID for Pinterest. This is used to identify Adobe Commerce/Magento clients on Pinterest.","ID do cliente para o Pinterest. É usado para identificar clientes do Adobe Commerce/Magento no Pinterest."
"Integration Base URL","URL principal da integração"
"Base URL path for Pinterest.","URL principal para o Pinterest."
"Catalog Ingestion","Inserção de catálogo"
"Allow catalog ingestion to Pinterest","Permitir a inserção de catálogos no Pinterest"
"Conversion tracking","Controlo de conversão"
"Send clientside and serverside conversion events. To update this setting, disconnect and reconnect your Pinterest business account to Adobe Commerce.","Envia eventos de conversão do lado do cliente e do lado do servidor. Para atualizares esta definição, desassocia e volta a associar a tua conta de empresa do Pinterest ao Adobe Commerce."
"Catalog Sync","Sincronização de catálogos"
"Manually run catalog creation and feed registration","Executar manualmente a criação de catálogos e o registo de feeds"
"General Data Protection Regulation (GDPR)","Regulamento geral sobre a proteção de dados (RGPD)"
"Enable GDPR","Ativar RGPD"
Options,Opções
"Cookie Name","Nome do cookie"
"Tracking is controlled at Stores > Configuration > General > Web > Default Cookie Settings > Cookie Restriction Mode","O acompanhamento é controlado em Lojas > Configuração > Configurações de cookies padrão > Web > > Modo de restrição de cookies"
"Limited Data Processing (LDP)","Processamento de dados limitado (LDP)"
"Enable Limited Data Processing flag","Ativar sinalizador de processamento de dados limitado"
