"Turn on catalog ingestion","Activează ingestia din catalog"
"Turn off catalog ingestion","Dezactivează ingestia din catalog"
"Turn on Pinterest tag and Pinterest API for Conversions","Activează Marcajul Pinterest și API-ul Pinterest pentru conversii"
"Turn off Pinterest tag and Pinterest API for Conversions","Dezactivează Marcajul Pinterest și API-ul Pinterest pentru conversii"
Pinterest,Pinterest
Setup,Setup
Configurations,Configuraţii
General,Generale
"Client ID","Client ID"
"Base URL","Adresă URL de bază"
"Catalog Ingestion","Ingestie din catalog"
"Tag and API for Conversions","Marcaje și API pentru conversii"
