"Regenerate Catalog","Восстановить каталог"
"Turn on catalog ingestion","Включить прием данных из каталога"
"Turn off catalog ingestion","Отключить прием данных из каталога"
"Turn on Pinterest tag and Pinterest API for Conversions","Включить тег Pinterest и API Pinterest для конверсий"
"Turn off Pinterest tag and Pinterest API for Conversions","Отключить тег Pinterest и API Pinterest для конверсий"
"Use Magento Cookie Restriction Mode","Использование режима ограничения файлов cookie Magento"
"Enable Tracking if Cookie Exists","Включение отслеживания при наличии файлов cookie"
"There was an issue regenerating your catalog. Please refresh the page or trying again later.","При восстановлении каталога произошла ошибка. Обновите страницу или повторите попытку позже."
Success,Получилось!
"You must be logged into Pinterest to access this setting","Для изменения этой настройки необходимо войти в аккаунт Pinterest"
Pinterest,Pinterest
Setup,Настройка
Configurations,Конфигурации
General,Общие
"Client ID","Идентификатор клиента"
"Client ID for Pinterest. This is used to identify Adobe Commerce/Magento clients on Pinterest.","Идентификатор клиента для Pinterest. Эта информация используется для идентификации клиентов Adobe Commerce и Magento в Pinterest."
"Base URL","Базовый URL-адрес"
"Base URL path for Pinterest.","Базовый URL-адрес для Pinterest."
"Catalog Ingestion","Прием данных из каталога"
"Turn on or off catalog ingestion to Pinterest","Включение и отключение приема данных из каталога в Pinterest"
"Tag and API for Conversions","Тег и API для конверсий"
"Turn on or off Pinterest tag and Pinterest API for Conversions","Включение и отключение тега Pinterest и API Pinterest для конверсий"
"Catalog Sync","Синхронизация каталога"
"Manually run catalog creation and feed registration","Создание каталога и регистрация ленты вручную"
"General Data Protection Regulation (GDPR)","Общий регламент по защите данных (GDPR)"
"Enable GDPR","Включить GDPR"
Options,Настройки
"Cookie Name","Название файлов cookie"
"Tracking is controlled at Stores > Configuration > General > Web > Default Cookie Settings > Cookie Restriction Mode","Отслеживание можно настроить в следующем разделе: Магазины > Конфигурации > Общие > Сайт > Стандартные настройки файлов cookie > Режим ограничения файлов cookie"
