"Turn on catalog ingestion","Aktivera kataloginmatning"
"Turn off catalog ingestion","Stäng av kataloginmatning"
"Turn on Pinterest tag and Pinterest API for Conversions","Aktivera Pinterest-taggen och Pinterest API för konversioner"
"Turn off Pinterest tag and Pinterest API for Conversions","Stäng av Pinterest-taggen och Pinterest API för konversioner"
Pinterest,Pinterest
Setup,Setup
Configurations,Konfigurationer
General,Allmän
"Client ID","Klient-ID"
"Base URL","Basadress"
"Catalog Ingestion","Inmatning av katalog"
"Tag and API for Conversions","Tagg och API för konversioner"
